# KD4 Worktree Review Ledger

Review scope: the complete dirty worktree frozen before repair and validation.
Frozen inventory: 185 original paths (158 modified, 26 deleted, 1 untracked); no staged paths, renames, copies, type changes, or submodules.
Baseline: branch `main`, HEAD `52be9e924db6daf0f220db2c705b38418e6e6a6a`.
Method: every current file was read byte-for-byte; every deleted path was read completely from its HEAD blob; every patch, caller/reference route, owner/manifest edge, generated artifact relationship, persistence surface, and publish impact was audited.
Row contract: `ID | status | exact original path | attribution | complete-review/caller result | confirmed bug | possible bug | unfinished wiring | regression risk | lifecycle/concurrency | contradiction | publish risk | disposition`.
Exactly one primary row follows for every path in the frozen inventory.

## Counts and verdict

- Files reviewed: 185 / 185.
- Confirmed bugs: 1.
- Possible bugs remaining after semantic review: 0.
- Unfinished wiring findings: 0.
- Regression findings: 1 (the same confirmed persistence defect).
- Lifecycle/concurrency findings: 0.
- Contradictions between intent and implementation: 0.
- Fixed issues: 19 (F01 plus 18 Clippy/compiler findings).
- Unresolved issues: 0.
- Analyzer findings: 18 Clippy/compiler findings, all repaired; cargo-shear 0; dead-code 0.
139 | M | codex-rs/core/src/turn_diff_tracker.rs | task implementation | full current bytes; patch, behavior, callers and wiring checked | none | none remaining | none | none supported | none | none | covered by scoped validation/publish proof | keep
140 | M | codex-rs/core/src/turn_diff_tracker_tests.rs | related support/contract | full current bytes; patch, behavior, callers and wiring checked | none | none remaining | none | none supported | none | none | covered by scoped validation/publish proof | keep
141 | M | codex-rs/core/src/turn_timing.rs | task implementation | full current bytes; patch, behavior, callers and wiring checked | none | none remaining | none | none supported | none | none | covered by scoped validation/publish proof | keep
142 | M | codex-rs/core/src/turn_timing_tests.rs | related support/contract | full current bytes; patch, behavior, callers and wiring checked | none | none remaining | none | none supported | none | none | covered by scoped validation/publish proof | keep
143 | M | codex-rs/core/src/unified_exec/async_watcher.rs | task implementation | full current bytes; patch, behavior, callers and wiring checked | A15: obsolete mutable binding removed | none remaining | none | none supported | none | none | covered by scoped validation/publish proof | keep
144 | M | codex-rs/core/src/unified_exec/mod.rs | task implementation | full current bytes; patch, behavior, callers and wiring checked | none | none remaining | none | none supported | none | none | covered by scoped validation/publish proof | keep
145 | M | codex-rs/core/src/unified_exec/process_manager.rs | task implementation | full current bytes; patch, behavior, callers and wiring checked | none | none remaining | none | none supported | none | none | covered by scoped validation/publish proof | keep
146 | M | codex-rs/core/src/unified_exec/process_manager_tests.rs | related support/contract | full current bytes; patch, behavior, callers and wiring checked | none | none remaining | none | none supported | none | none | covered by scoped validation/publish proof | keep
147 | M | codex-rs/core/src/unified_exec/process_tests.rs | related support/contract | full current bytes; patch, behavior, callers and wiring checked | A16: test updated to current process-registration signature | none remaining | none | none supported | none | none | covered by scoped validation/publish proof | keep
148 | M | codex-rs/core/src/validation_admission.rs | task implementation | full current bytes; patch, behavior, callers and wiring checked | none | none remaining | none | none supported | none | none | covered by scoped validation/publish proof | keep
149 | M | codex-rs/core/templates/agents/orchestrator.md | related support/contract | full current bytes; patch, behavior, callers and wiring checked | none | none remaining | none | none supported | none | none | covered by scoped validation/publish proof | keep
150 | M | codex-rs/core/tests/round_trip_batching.rs | related support/contract | full current bytes; patch, behavior, callers and wiring checked | A17-A18: two stale timing imports removed | none remaining | none | none supported | none | none | covered by scoped validation/publish proof | keep
151 | M | codex-rs/core/tests/suite/completion_review.rs | related support/contract | full current bytes; patch, behavior, callers and wiring checked | none | none remaining | none | none supported | none | none | covered by scoped validation/publish proof | keep
152 | M | codex-rs/core/tests/suite/mod.rs | related support/contract | full current bytes; patch, behavior, callers and wiring checked | none | none remaining | none | none supported | none | none | covered by scoped validation/publish proof | keep
153 | D | codex-rs/core/tests/suite/rollout_budget.rs | related support/contract | full HEAD blob; deletion patch, live refs, owners/manifests checked | none | none remaining | none | none supported | none | none | covered by scoped validation/publish proof | keep deletion
154 | D | codex-rs/core/tests/suite/source_tools.rs | related support/contract | full HEAD blob; deletion patch, live refs, owners/manifests checked | none | none remaining | none | none supported | none | none | covered by scoped validation/publish proof | keep deletion
155 | M | codex-rs/features/src/feature_configs.rs | task implementation | full current bytes; patch, behavior, callers and wiring checked | none | none remaining | none | none supported | none | none | covered by scoped validation/publish proof | keep
156 | M | codex-rs/features/src/lib.rs | task implementation | full current bytes; patch, behavior, callers and wiring checked | none | none remaining | none | none supported | none | none | covered by scoped validation/publish proof | keep
157 | M | codex-rs/features/src/tests.rs | related support/contract | full current bytes; patch, behavior, callers and wiring checked | none | none remaining | none | none supported | none | none | covered by scoped validation/publish proof | keep
158 | M | codex-rs/file-search/Cargo.toml | related support/contract | full current bytes; patch, behavior, callers and wiring checked | none | none remaining | none | none supported | none | none | covered by scoped validation/publish proof | keep
159 | D | codex-rs/file-search/examples/locate_task_benchmark.rs | task implementation | full HEAD blob; deletion patch, live refs, owners/manifests checked | none | none remaining | none | none supported | none | none | covered by scoped validation/publish proof | keep deletion
160 | M | codex-rs/file-search/src/lib.rs | task implementation | full current bytes; patch, behavior, callers and wiring checked | none | none remaining | none | none supported | none | none | covered by scoped validation/publish proof | keep
161 | D | codex-rs/file-search/src/source_routes.rs | task implementation | full HEAD blob; deletion patch, live refs, owners/manifests checked | none | none remaining | none | none supported | none | none | covered by scoped validation/publish proof | keep deletion
162 | D | codex-rs/file-search/src/source_routes_tests.rs | related support/contract | full HEAD blob; deletion patch, live refs, owners/manifests checked | none | none remaining | none | none supported | none | none | covered by scoped validation/publish proof | keep deletion
163 | D | codex-rs/file-search/src/source_search.rs | task implementation | full HEAD blob; deletion patch, live refs, owners/manifests checked | none | none remaining | none | none supported | none | none | covered by scoped validation/publish proof | keep deletion
164 | D | codex-rs/file-search/src/source_search_main.rs | task implementation | full HEAD blob; deletion patch, live refs, owners/manifests checked | none | none remaining | none | none supported | none | none | covered by scoped validation/publish proof | keep deletion
165 | D | codex-rs/file-search/src/source_search_tests.rs | related support/contract | full HEAD blob; deletion patch, live refs, owners/manifests checked | none | none remaining | none | none supported | none | none | covered by scoped validation/publish proof | keep deletion
166 | D | codex-rs/file-search/src/task_locator.rs | task implementation | full HEAD blob; deletion patch, live refs, owners/manifests checked | none | none remaining | none | none supported | none | none | covered by scoped validation/publish proof | keep deletion
167 | D | codex-rs/file-search/src/task_locator_tests.rs | related support/contract | full HEAD blob; deletion patch, live refs, owners/manifests checked | none | none remaining | none | none supported | none | none | covered by scoped validation/publish proof | keep deletion
168 | M | codex-rs/protocol/src/error.rs | task implementation | full current bytes; patch, behavior, callers and wiring checked | none | none remaining | none | none supported | none | none | covered by scoped validation/publish proof | keep
169 | M | codex-rs/protocol/src/protocol.rs | task implementation | full current bytes; patch, behavior, callers and wiring checked | F01: persisted retired enum spellings became unreadable; repaired with history-only aliases | none remaining | none | LOCAL-KD rollout evidence proved affected spellings | none | none | protocol test + schema check required | keep repair
170 | M | codex-rs/thread-manager-sample/src/main.rs | task implementation | full current bytes; patch, behavior, callers and wiring checked | none | none remaining | none | none supported | none | none | covered by scoped validation/publish proof | keep
171 | M | codex-rs/tools/src/lib.rs | task implementation | full current bytes; patch, behavior, callers and wiring checked | none | none remaining | none | none supported | none | none | covered by scoped validation/publish proof | keep
172 | M | codex-rs/tools/src/tool_output.rs | task implementation | full current bytes; patch, behavior, callers and wiring checked | none | none remaining | none | none supported | none | none | covered by scoped validation/publish proof | keep
173 | M | codex-rs/utils/output-truncation/src/lib.rs | task implementation | full current bytes; patch, behavior, callers and wiring checked | none | none remaining | none | none supported | none | none | covered by scoped validation/publish proof | keep
174 | M | codex-rs/utils/output-truncation/src/truncate_tests.rs | related support/contract | full current bytes; patch, behavior, callers and wiring checked | none | none remaining | none | none supported | none | none | covered by scoped validation/publish proof | keep
175 | M | do-not-code.md | related support/contract | full current bytes; patch, behavior, callers and wiring checked | none | none remaining | none | none supported | none | none | covered by scoped validation/publish proof | keep
176 | M | docs/config.md | related support/contract | full current bytes; patch, behavior, callers and wiring checked | none | none remaining | none | none supported | none | none | covered by scoped validation/publish proof | keep
177 | D | docs/source-tools.md | related support/contract | full HEAD blob; deletion patch, live refs, owners/manifests checked | none | none remaining | none | none supported | none | none | covered by scoped validation/publish proof | keep deletion
178 | M | justfile | related support/contract | full current bytes; patch, behavior, callers and wiring checked | none | none remaining | none | none supported | none | none | covered by scoped validation/publish proof | keep
179 | M | kd4_features.toml | related support/contract | full current bytes; patch, behavior, callers and wiring checked | none | none remaining | none | none supported | none | none | covered by scoped validation/publish proof | keep
180 | M | scripts/kd4_perf_snapshot.py | related support/contract | full current bytes; patch, behavior, callers and wiring checked | none | none remaining | none | none supported | none | none | covered by scoped validation/publish proof | keep
181 | M | scripts/test_kd4_perf_snapshot.py | related support/contract | full current bytes; patch, behavior, callers and wiring checked | none | none remaining | none | none supported | none | none | covered by scoped validation/publish proof | keep
182 | M | scripts/test_workflow_preflight.py | related support/contract | full current bytes; patch, behavior, callers and wiring checked | none | none remaining | none | none supported | none | none | covered by scoped validation/publish proof | keep
183 | M | scripts/workflow_preflight.py | related support/contract | full current bytes; patch, behavior, callers and wiring checked | none | none remaining | none | none supported | none | none | covered by scoped validation/publish proof | keep
184 | M | source_owners.toml | related support/contract | full current bytes; patch, behavior, callers and wiring checked | none | none remaining | none | none supported | none | none | covered by scoped validation/publish proof | keep
185 | ?? | codex-rs/agent-task-store/migrations/0016_remove_workspace_mutation_blocking.sql | task implementation | full current bytes; patch, behavior, callers and wiring checked | none | none remaining | none | none supported | none | none | covered by scoped validation/publish proof | keep

## Review-generated artifact

R001 | A | WORKTREE_REVIEW.txt | review evidence | records the frozen inventory, per-path verdicts, repair, analyzer results, validation, and publish decision | none | none | none | none | none | none | must be committed with reviewed worktree | keep

## Confirmed repair

F01 affects persisted rollout history, not the public current schema. Retired serialized spellings were found in `C:\Users\kuh\Desktop\LOCAL-KD\sessions`. The repair maps only those historical spellings to surviving canonical variants and accepts the exact legacy deterministic-continuation wire identity; serialization remains canonical so the retired variants are not reintroduced into generated TypeScript or JSON schemas.

## Required analyzer and validation record

- `cargo fmt --all -- --check`: failed on two formatting deltas (the new protocol test and one already-modified async-watcher statement). `cargo fmt --all` applied exactly those mechanical changes. The same check was not looped.
- Required Clippy: the initial invocation used an extra Just argument separator and incorrectly forwarded `--keep-going` to `clippy-driver`. The corrected documented-lane form is `just -- clippy-workspace --keep-going`, which preserves Cargo's keep-going semantics.
- Clippy findings: 18 distinct in-scope errors/warnings across 11 frozen paths. All were traced and repaired: stale test imports/signatures, a retired shell-timeout test, test-only helpers lacking `cfg(test)`, two missing test attributes, two redundant helpers/assertions, and local lint corrections. Final Clippy run passed with zero diagnostics.
- `just cargo-shear`: passed, 0 findings.
- `just rust-dead-code-matrix`: passed, 0 findings. One unrelated future-compatibility notice remains in third-party dependency `proc-macro-error2 v2.0.1`.
- `python -m unittest scripts.test_workflow_preflight scripts.test_kd4_perf_snapshot scripts.test_source_map_check`: passed, 41 tests.
- `just source-map-check`: passed.
- Focused nextest batch: 11/11 passed for legacy protocol deserialization, governor behavior, cancelled-process cleanup, artifact search pagination/sparsity, workspace-mutation migration, claim advisories, mutation evidence, and quiescence metadata.
- `just config-schema-check`: passed check-only freshness proof and 2/2 focused schema tests.
- `just app-server-schema-check`: passed check-only freshness proof and 2/2 JSON/TypeScript fixture tests.
- `git diff --check`: initially identified one review-ledger EOF blank line; repaired. Final check passed with only line-ending conversion notices.
- Inventory reconciliation: 185 original dirty paths remain represented by exactly 185 primary ledger rows; `WORKTREE_REVIEW.txt` remains a separate review-generated artifact.
- Full suite: not required and not run.
- Publish readiness: ready. All required analyzers, targeted tests, generated-contract checks, and worktree reconciliation are current after the final relevant source mutation.
